year,model,price,transmission,mileage,fuelType,tax,mpg,engineSize,selling_price
2015, 1 Series,10388,Manual,28640,Diesel,0,83.1,1.5,4794.062
2017, 1 Series,22991,Semi-Auto,15709,Petrol,145,39.8,3.0,13532.5026
2019, 1 Series,31790,Semi-Auto,8211,Petrol,145,34.5,2.0,24328.887
2017, 1 Series,19490,Manual,10,Petrol,125,53.3,1.5,11471.814
2015, 1 Series,9600,Manual,30755,Diesel,0,83.1,1.5,4430.400000000001
2019, 1 Series,23963,Manual,6317,Petrol,145,41.5,1.5,18338.8839
2019, 1 Series,15989,Automatic,12192,Petrol,145,55.5,1.5,12236.3817
2015, 1 Series,11000,Automatic,25345,Petrol,145,48.7,1.6,5076.5
2019, 1 Series,26720,Manual,3710,Diesel,145,53.3,2.0,20448.816
2017, 1 Series,16250,Semi-Auto,35332,Diesel,150,60.1,2.0,9564.75
2017, 1 Series,19991,Manual,20302,Petrol,145,36.2,3.0,11766.7026
2017, 1 Series,18500,Automatic,20148,Diesel,150,60.1,2.0,10889.1
2017, 1 Series,20491,Manual,12000,Petrol,150,36.2,3.0,12061.0026
2017, 1 Series,14995,Manual,13472,Diesel,145,65.7,2.0,8826.057
2019, 1 Series,30123,Semi-Auto,7500,Petrol,145,34.5,2.0,23053.1319
2017, 1 Series,14290,Manual,23674,Petrol,125,52.3,1.5,8411.094000000001
2017, 1 Series,11490,Manual,31000,Diesel,20,68.9,2.0,6763.014
2017, 1 Series,15500,Manual,53248,Diesel,145,65.7,2.0,9123.300000000001
2015, 1 Series,9699,Manual,36713,Diesel,0,78.5,1.5,4476.0885
2015, 1 Series,16450,Semi-Auto,25499,Diesel,125,60.1,2.0,7591.675
2017, 1 Series,16990,Automatic,23000,Diesel,30,65.7,2.0,10000.314
2017, 1 Series,15995,Semi-Auto,19164,Petrol,150,55.5,1.5,9414.657000000001
2015, 1 Series,17500,Manual,42000,Petrol,305,35.3,3.0,8076.25
2017, 1 Series,21880,Automatic,25611,Petrol,145,39.8,3.0,12878.568000000001
